student_id,cgpa,skills,projects_count,domain_interest,certifications,experience_level,communication_skill,hackathons,github_score,internship_role
1,8.03,C++|DSA,4,Web Development,0,Advanced,7,0,35,Frontend Intern
2,8.8,HTML|CSS|JS,2,Web Development,1,Advanced,6,1,59,Full Stack Intern
3,8.63,Python|AI|Deep Learning,3,AI,3,Advanced,4,1,30,AI Intern
4,6.66,Python|SQL|Tableau,1,Data Analysis,3,Beginner,6,5,99,Data Analyst Intern
5,6.23,Python|AI|Deep Learning,1,Data Science,4,Intermediate,8,2,52,Data Science Intern
6,6.26,Python|AI|Deep Learning,2,Software Development,2,Beginner,5,5,42,SDE Intern
7,6.35,C|C++|DSA,1,Data Analysis,4,Beginner,4,5,86,Data Analyst Intern
8,7.71,Python|ML|Data Analysis,6,Web Development,2,Beginner,10,1,45,Full Stack Intern
9,7.49,C|C++|DSA,3,AI,2,Beginner,7,1,69,AI Intern
10,9.74,C++|DSA,5,Machine Learning,3,Beginner,10,0,93,ML Intern
11,6.41,Python|ML|Data Analysis,6,Machine Learning,1,Advanced,5,1,58,ML Intern
12,8.92,Python|ML|Data Analysis,6,Software Development,5,Beginner,4,0,77,SDE Intern
13,9.42,Python|DL|NLP,4,Web Development,3,Advanced,6,3,100,Frontend Intern
14,9.26,HTML|CSS|JS,6,Data Science,4,Advanced,8,3,96,Data Science Intern
15,9.21,Python|ML|Data Analysis,3,Data Analysis,0,Advanced,5,5,81,Data Analyst Intern
16,6.19,Python|ML|Pandas,3,Machine Learning,4,Intermediate,10,1,85,ML Intern
17,8.53,HTML|CSS|Bootstrap,5,Data Analysis,0,Intermediate,7,4,58,Data Analyst Intern
18,6.95,React|Node.js,3,Web Development,1,Intermediate,4,3,76,Frontend Intern
19,9.15,React|Node.js,3,Machine Learning,0,Intermediate,9,4,83,ML Intern
20,6.87,C|C++|DSA,1,Machine Learning,1,Advanced,7,0,63,ML Intern
21,9.35,React|Node.js,2,Data Analysis,0,Beginner,5,4,88,Data Analyst Intern
22,6.78,HTML|CSS|Bootstrap,4,Web Development,4,Advanced,6,3,55,Full Stack Intern
23,7.99,C++|DSA,2,Machine Learning,5,Beginner,7,3,100,ML Intern
24,7.99,Python|ML|Data Analysis,5,Data Analysis,5,Beginner,7,1,63,Data Analyst Intern
25,8.55,Python|SQL|Tableau,4,Web Development,4,Intermediate,9,0,98,Full Stack Intern
26,9.72,Python|ML|Pandas,4,Data Analysis,4,Beginner,10,4,56,Data Analyst Intern
27,6.93,HTML|CSS|Bootstrap,6,Data Science,2,Advanced,10,3,72,Data Science Intern
28,8.46,HTML|CSS|JS,2,Machine Learning,2,Beginner,9,3,93,ML Intern
29,8.35,Python|ML|Pandas,6,Machine Learning,4,Advanced,10,1,49,ML Intern
30,8.14,Python|ML|Pandas,4,Machine Learning,0,Intermediate,9,0,73,ML Intern
31,6.63,C|C++|DSA,6,Machine Learning,2,Advanced,6,5,84,ML Intern
32,7.77,C|C++|DSA,1,Software Development,2,Intermediate,9,4,100,SDE Intern
33,7.8,Python|ML|Pandas,3,AI,1,Beginner,9,5,95,AI Intern
34,9.39,Python|SQL|Tableau,3,Machine Learning,2,Intermediate,5,5,75,ML Intern
35,8.22,Python|DL|NLP,5,Machine Learning,3,Advanced,4,1,37,ML Intern
36,7.46,HTML|CSS|JS,5,Machine Learning,1,Beginner,9,4,90,ML Intern
37,8.82,Python|AI|Deep Learning,2,Machine Learning,1,Beginner,7,0,40,ML Intern
38,8.54,HTML|CSS|Bootstrap,1,Software Development,4,Intermediate,5,3,98,SDE Intern
39,7.89,Python|AI|Deep Learning,4,AI,5,Intermediate,6,1,98,AI Intern
