Student_ID,Study_Hours,Attendance,Previous_GPA,Assignments_Completed,Class_Participation,Sleep_Hours,Internet_Usage,Extra_Activities,Stress_Level,Mock_Test_Score,Final_GPA,Performance
1,7,86,6.41,8,6,6,6,1,4,41,7.73,Good
2,4,75,5.44,9,8,5,3,0,6,92,7.04,Good
3,8,84,4.91,4,9,8,6,1,5,50,7.59,Good
4,5,83,7.79,8,4,8,5,0,2,91,7.85,Good
5,7,84,6.83,10,2,7,6,0,9,95,7.62,Good
6,3,89,5.1,8,9,7,1,0,6,75,6.79,Average
7,7,65,5.76,5,9,6,5,0,6,70,7.28,Good
8,8,87,7.25,5,8,7,1,0,9,70,7.91,Good
9,5,62,4.4,8,3,5,7,0,1,63,6.5,Average
10,4,72,4.81,5,5,6,7,0,7,85,6.01,Average
11,8,71,4.4,7,2,8,2,0,3,60,7.13,Good
12,8,65,8.47,4,3,6,2,0,4,71,7.63,Good
13,3,77,8.14,10,1,4,5,0,1,88,7.18,Good
14,6,97,8.14,8,4,6,7,0,3,69,8.17,Good
15,5,84,7.94,4,5,7,2,0,7,96,7.16,Good
16,2,94,7.68,7,2,5,2,1,6,47,6.04,Average
17,8,95,6.62,10,3,8,3,0,1,72,8.74,Excellent
18,6,57,7.53,5,6,8,1,1,9,99,6.87,Average
19,2,93,4.21,6,6,7,2,1,4,90,6.25,Average
20,5,71,7.42,7,7,7,5,0,7,90,7.23,Good
21,1,70,8.28,6,9,7,3,1,4,92,6.62,Average
22,6,75,6.75,4,4,4,7,0,7,78,6.77,Average
23,9,89,5.97,8,5,5,2,0,5,40,8.09,Good
24,1,70,5.53,10,2,4,6,1,1,72,5.88,Poor
25,3,74,7.54,5,6,7,7,1,4,81,6.64,Average
26,7,90,7.81,10,4,5,5,1,3,52,8.29,Good
27,4,50,8.79,7,5,7,1,0,6,61,6.41,Average
28,9,55,5.88,5,7,5,7,1,6,44,7.25,Good
29,3,72,8.23,6,6,8,6,1,1,51,6.83,Average
30,5,72,7.09,6,8,4,7,1,2,99,7.77,Good
31,3,92,8.86,9,6,7,2,0,2,68,7.71,Good
32,7,92,6.9,10,8,7,5,0,4,42,8.35,Good
33,5,72,6.85,8,4,6,6,1,9,90,6.75,Average
34,9,81,7.18,6,7,8,5,1,2,75,8.8,Excellent
35,7,79,8.12,8,3,7,4,1,8,86,7.69,Good
36,2,62,9.31,9,1,4,7,1,1,84,6.68,Average
37,4,92,4.4,7,9,8,6,1,8,50,6.47,Average
38,9,67,4.29,9,9,7,5,1,3,65,8.26,Good
39,2,72,9.16,8,6,4,6,1,5,41,6.43,Average
40,9,64,6.91,6,2,6,4,0,1,68,7.96,Good
41,5,82,7.38,4,8,6,1,1,1,80,7.74,Good
42,2,70,6.65,8,6,4,1,1,6,68,6.06,Average
43,4,88,4.52,5,7,8,7,0,3,83,6.83,Average
44,7,72,8.22,4,1,4,3,1,8,75,6.87,Average
45,8,76,8.11,10,3,4,6,0,4,97,8.61,Excellent
46,3,94,5.71,8,1,6,4,1,6,58,6.06,Average
47,1,93,5.68,5,1,6,5,0,9,49,4.77,Poor
48,4,67,8.61,10,1,6,3,1,8,50,6.31,Average
49,2,73,4.4,9,4,7,6,1,4,46,5.56,Poor
50,8,96,8.85,4,7,7,3,0,8,52,8.12,Good
51,4,89,5.41,8,7,5,6,0,7,80,6.9,Average
52,2,91,7.26,7,5,7,7,0,5,83,6.64,Average
53,6,56,9.15,9,6,8,7,1,7,41,7.19,Good
54,6,99,7.73,5,2,8,1,1,7,69,7.25,Good
55,4,97,6.28,7,5,6,5,1,2,61,7.24,Good
56,6,69,7.79,6,7,4,4,1,7,92,7.48,Good
57,2,76,5.89,9,9,6,7,1,3,40,6.44,Average
58,2,55,5.52,9,6,4,1,0,8,66,5.43,Poor
59,4,76,9.48,8,4,6,3,1,8,46,6.72,Average
60,8,58,8.13,8,3,6,2,0,9,40,7.02,Good
61,7,94,7.55,5,9,8,7,0,4,97,8.66,Excellent
